PID,USER,PR,NI,VIRT,RES,SHR,S,%CPU,%MEM,TIME+,COMMAND
5766,aleja,20,0,1280912,44432,16516,S,"13,3","0,6",1:48.47,rosmaster
7963,aleja,20,0,369172,24976,14984,S,"13,3","0,3",1:28.43,robot_state_pub
8209,aleja,20,0,871268,42520,16760,S,"13,3","0,6",2:16.68,nodo_pid.py
7956,aleja,20,0,498908,22148,12672,S,"13,3","0,3",1:49.16,ekf_localizatio
5777,aleja,20,0,348884,19324,10216,S,"0,0","0,3",0:02.15,rosout
8182,aleja,20,0,357588,44880,16692,S,"0,0","0,6",0:02.22,roslaunch
8280,aleja,20,0,511136,46132,17448,S,"0,0","0,6",0:04.12,rostopic
7967,aleja,20,0,422780,19248,10136,S,"0,0","0,3",1:09.87,twist_mux
5757,aleja,20,0,357720,44900,16824,S,"0,0","0,6",0:03.29,roscore
581,root,20,0,2548,708,636,S,"0,0","0,0",0:00.32,acpid
7927,aleja,20,0,357992,45016,16424,S,"0,0","0,6",0:02.50,roslaunch
8209,aleja,20,0,871268,42520,16760,S,"11,9","0,6",2:16.80,nodo_pid.py
7963,aleja,20,0,369172,24976,14984,S,"9,9","0,3",1:28.53,robot_state_pub
7956,aleja,20,0,498908,22148,12672,S,"9,9","0,3",1:49.26,ekf_localizatio
5766,aleja,20,0,1280912,44432,16516,S,"6,9","0,6",1:48.54,rosmaster
7967,aleja,20,0,422780,19248,10136,S,"5,0","0,3",1:09.92,twist_mux
8182,aleja,20,0,357588,44880,16692,S,"2,0","0,6",0:02.24,roslaunch
7927,aleja,20,0,357992,45016,16424,S,"1,0","0,6",0:02.51,roslaunch
5777,aleja,20,0,348884,19324,10216,S,"0,0","0,3",0:02.15,rosout
8280,aleja,20,0,511136,46132,17448,S,"0,0","0,6",0:04.12,rostopic
5757,aleja,20,0,357720,44900,16824,S,"0,0","0,6",0:03.29,roscore
581,root,20,0,2548,708,636,S,"0,0","0,0",0:00.32,acpid
8209,aleja,20,0,871268,42520,16760,S,"10,0","0,6",2:16.90,nodo_pid.py
7963,aleja,20,0,369172,24976,14984,S,"9,0","0,3",1:28.62,robot_state_pub
7956,aleja,20,0,498908,22148,12672,S,"8,0","0,3",1:49.34,ekf_localizatio
5766,aleja,20,0,1280912,44432,16516,S,"6,0","0,6",1:48.60,rosmaster
7967,aleja,20,0,422780,19248,10136,S,"5,0","0,3",1:09.97,twist_mux
5757,aleja,20,0,357720,44900,16824,S,"1,0","0,6",0:03.30,roscore
5777,aleja,20,0,348884,19324,10216,S,"0,0","0,3",0:02.15,rosout
8182,aleja,20,0,357588,44880,16692,S,"0,0","0,6",0:02.24,roslaunch
8280,aleja,20,0,511136,46132,17448,S,"0,0","0,6",0:04.12,rostopic
